1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z
14.625,13.746,12.376,13.769,12.668,13.125,15.738,13.568,12.538,14.399,14.744,12.826,12.749,13.101,14.191,14.412,11.865,13.443,12.625,14.151,14.766,11.672,12.011,14.435,11.497,11.282,13.07,12.099,11.322,15.219,10.672,12.395,14.841,12.515,11.944,12.113,11.725,10.182,13.228,10.493,11.383,12.676,11.923,13.167,11.485,13.065,11.232,11.499,12.778,13.953,10.861,10.839,13.33,11.555,14.264,13.629,10.971,12.511,14.849,10.337,14.424,12.615,10.622,14.916,14.287,10.403
14.663,13.626,12.445,13.834,12.598,13.233,15.696,13.331,12.64,14.504,14.644,12.822,12.756,13.019,14.139,14.411,11.746,13.61,12.51,14.176,14.199,11.855,11.836,14.553,11.495,11.334,13.139,12.369,11.003,15.137,10.949,12.158,15.067,12.415,12.078,12.175,11.703,10.299,12.908,10.399,11.594,12.897,11.871,13.261,11.503,12.823,11.332,11.411,12.759,14.056,10.935,10.765,13.51,11.517,14.258,13.67,11.073,12.512,15.069,10.495,14.366,12.74,10.544,14.888,14.348,10.492
14.505,13.802,12.317,13.668,12.641,13.102,15.584,13.719,12.653,14.276,14.783,12.783,12.74,13.073,14.328,14.297,11.87,13.467,12.68,14.065,14.993,11.656,12.005,14.456,11.496,11.403,13.075,11.981,11.223,15.163,10.746,12.46,14.93,12.594,12.0,12.163,11.655,10.289,13.06,10.487,11.577,12.747,11.977,13.1,11.346,13.037,11.241,11.52,12.796,13.902,10.652,10.874,13.076,11.212,14.304,13.663,10.961,12.477,14.672,9.915,14.566,12.718,10.554,14.958,14.364,10.408
14.462,13.755,12.52,13.633,12.617,13.035,15.508,13.552,12.969,14.116,14.707,12.826,12.721,12.913,14.252,14.386,11.801,13.193,12.413,14.062,14.425,12.055,11.61,14.668,11.38,11.67,13.301,12.795,10.836,14.768,11.414,11.669,15.531,12.501,12.166,12.25,10.932,10.744,12.889,10.636,12.45,13.232,11.994,13.266,11.354,12.776,11.362,11.56,12.888,13.953,10.648,10.935,13.402,11.152,14.37,13.642,10.941,12.611,14.833,10.154,14.499,12.609,10.684,14.952,14.391,10.349
14.562,13.737,12.376,13.673,12.638,13.071,15.592,13.489,12.695,14.292,14.785,12.578,12.774,13.031,14.232,14.416,11.901,13.332,12.508,14.209,14.511,11.906,11.746,14.512,11.339,11.39,13.116,12.621,11.029,14.887,11.172,11.683,15.317,12.555,12.065,12.286,11.122,10.363,12.951,10.497,11.947,13.034,11.991,13.24,11.469,12.852,11.312,11.533,12.818,13.986,10.785,10.825,13.288,11.465,14.292,13.611,11.036,12.644,14.948,10.229,14.562,12.62,10.632,14.932,14.29,10.488
14.524,13.757,12.309,13.567,12.62,13.109,15.49,13.482,12.696,14.126,14.722,12.776,12.717,13.097,14.295,14.254,11.955,13.739,12.736,14.065,14.976,11.635,12.072,14.435,11.578,11.275,13.104,11.858,11.317,15.242,10.653,12.532,14.626,12.611,11.998,12.195,11.915,10.212,13.276,10.542,11.263,12.749,11.936,13.168,11.31,12.897,11.155,11.512,12.812,13.919,10.673,10.865,13.371,11.504,14.301,13.682,10.988,12.532,14.76,10.108,14.55,12.685,10.635,14.959,14.429,10.469
14.502,13.833,12.447,13.731,12.667,13.125,15.533,13.923,12.77,14.08,14.755,12.763,12.802,12.999,14.228,14.543,11.925,13.292,12.521,14.101,14.603,12.014,11.697,14.493,11.288,11.547,13.181,12.642,10.799,14.623,11.474,11.706,15.442,12.445,12.137,12.259,10.998,10.593,12.825,10.403,12.19,13.196,11.902,13.198,11.297,12.765,11.202,11.704,12.88,13.846,10.688,10.809,13.237,11.001,14.33,13.627,11.073,12.623,14.703,10.055,14.535,12.609,10.727,14.934,14.417,10.544
14.679,13.61,12.385,13.778,12.632,13.159,15.701,13.224,12.378,14.672,14.603,12.893,12.777,13.089,14.217,14.281,11.738,13.462,12.532,14.235,14.493,11.792,11.878,14.498,11.418,11.277,13.08,12.46,11.155,15.019,10.931,12.298,15.036,12.472,11.998,12.176,11.477,10.183,13.065,10.399,11.543,12.828,11.917,13.189,11.49,12.893,11.296,11.441,12.791,13.992,10.913,10.834,13.367,11.532,14.26,13.753,10.984,12.567,14.964,10.535,14.556,12.811,10.377,14.796,14.631,10.562
14.384,13.923,12.483,13.539,12.739,13.002,15.36,13.496,12.15,14.547,14.628,13.247,12.925,12.914,14.377,14.11,11.816,12.979,13.079,13.9,15.076,11.829,11.769,14.521,11.152,11.725,13.168,12.261,10.749,14.739,11.137,11.996,15.334,12.06,12.607,12.274,11.19,10.686,12.811,10.109,12.007,13.243,12.365,12.429,10.817,11.636,13.611,12.321,13.3,13.232,10.428,12.089,11.622,10.201,13.785,14.416,11.247,13.796,13.27,9.393,12.834,15.028,11.471,14.378,15.025,10.628
14.633,13.592,12.388,13.666,12.564,13.197,15.657,13.203,12.432,14.646,14.533,12.883,12.723,13.099,14.185,14.245,11.72,13.586,12.49,14.228,14.475,11.802,11.829,14.462,11.569,11.335,13.092,12.364,11.051,15.106,10.897,12.07,15.064,12.549,12.053,12.241,11.728,10.268,13.028,10.592,11.666,12.747,11.963,13.27,11.566,13.028,11.39,11.545,12.787,14.032,10.886,10.911,13.533,11.687,14.235,13.651,10.903,12.531,14.875,10.285,14.239,12.715,10.281,14.733,14.48,10.387
